filename,base_caption,optimized_caption,base_caption_accuracy,confidence,logic_check
"251.jpg","a large building with a clock on the front","一座具有哥特复兴风格的双塔大型历史建筑矗立在城市商业历史文化街区广场中央，建筑正面有华为品牌的圆形标志性标识（替代传统时钟功能），建筑主体为浅棕色石材，双塔顶部是玻璃锥形结构，下方有拱形大门与窗户；周边环绕着风格相近的历史建筑，广场地面为红白相间铺装，众多行人在广场内步行、休息，形成热闹的公共活动场景。",66,高,PASS
"252.jpg","a view of a city at night from an escala","从自动扶梯处俯瞰的夜晚城市商业综合体景象，可见多层商业建筑矗立，建筑外立面分布着各类商铺招牌（包含餐饮门店如“胖哥俩肉蟹煲”“鲜烤肉火锅自助”，以及品牌门店如“秀士SHOW COFFEE & KITCHEN”“HONOR荣耀”等），各商铺灯光璀璨，照亮整个商业区域，呈现出繁华热闹的夜间商圈氛围，画面中还可见玻璃电梯井结构，整体展现出现代化都市商业中心的夜间风貌。",50,高,PASS
"253.jpg","a man is standing in front of a large display of ski equipment","一个大型VR体验展示区域，设有"VR月球漫步"标识的黑色背景墙，前方是模拟月球表面的白色斜坡，斜坡旁整齐摆放着深色的VR设备，区域内有带数字显示屏的小型装置和蓝色标识牌，整体为科技展览性质的室内场景，无人物和滑雪装备出现",0,高,PASS
"254.jpg","a sign on a wall with a tree in the background","一个带有发光标识的金属网格墙上，标识包含"东南大学 | MONASH University 苏州联合研究生院"文字及双方校徽，背景有绿色树叶（属树木），整体处于傍晚照明环境下，标识文字为白色发光样式。",40,高,PASS
"255.jpg","a circuit with a circuit and wires attached to it","一个带有绿色边框的面包板电路，上面安装有多种电子元件和彩色导线。面包板上分布着电阻（多为蓝色带色环标识）、电解电容（黑色圆柱形封装）、红色、绿色LED发光二极管、黑色集成电路芯片，以及红色、黑色、黄色、蓝色、紫色、绿色的导线，这些导线连接各元件至面包板焊孔，共同构成电子电路系统。",30,高,PASS
"256.jpg","a cup with a lid","一个透明塑料制的带盖杯子，内装有橙黄色的饮品，饮品中有类似珍珠的浅色圆形配料，杯子置于室内桌面，后方可见带有“书亦烧仙草”字样的品牌包装盒及一些其他物品，拍摄时间为2023年12月30日18:27，地点为武汉洪山。",30,高,PASS
"257.jpg","a group of people looking at a display of books","一群人在博物馆内参观以“日出东方”为主题的红色图文展览墙，展览墙上有历史照片、文字说明等内容，下方展示柜内陈列着相关文献资料，人群中包含成人与儿童，他们正专注地观看展览。",40,高,PASS
"258.jpg","a large airport with many signs and people walking around","一个大型机场的候机大厅内设有多个值机柜台（编号从06至14），大厅顶部是几何结构设计的吊顶，中央悬挂着“揚州泰州機場”的牌匾，左右两侧设有大型电子显示屏，地面为光滑的大理石材质，场内有少量行人（如办理手续或等待的人员），区域间以红白相间的隔离板和蓝色隔离绳分隔，整体环境宽敞明亮且秩序井然。",40,高,PASS
"259.jpg","the chinese language app for iphone","iPhone设备上显示“青年大学习”2023年第14期学习完成界面，界面以红棕色渐变作为背景，顶部显示“'青年大学习'2023年第14期”标题；中间区域呈现“青年大学习 总书记和青年朋友们 学习习近平总书记给中国石油大学(北京)中亚留学生的复信精神”等核心学习主题信息；下方有“恭喜你! 完成2023年第14期的学习”的文字提示以及红色的“课后习题”操作按钮；底部标注了“本期网上团课由中国石油大学(北京)协助拍摄 共青团中央宣传部 中国青少年新媒体协会 中国青年报·中青在线 联合出品”的出品信息，整体呈现理论学习类App在学习进度完成后的人机交互界面特征。",20,高,PASS
"260.jpg","a box of assed sus with a phone in the background","一份包含多种类型寿司（如粉色米饭寿司、带鱼片寿司、卷状寿司等）的餐食，盛放在带有红色装饰边缘的黑色餐盒内，放置在浅棕色木质纹理的桌面上，背景可见透明塑料容器与装有深色蘸料的金属方形小托盘，整体呈现一份准备食用的寿司餐食场景。",20,高,PASS
"261.jpg","a group of people standing around a table","一群人在2024人工智能与自动化学院春节联欢会的室内场地中聚集，围绕活动区域开展集体活动，许多人佩戴红色围巾并手持红色文件，场地设有显示“2024 人工智能与自动化学院 春节联欢”的投影屏幕，周边有摆放物品的桌子及灯笼、气球等节日装饰。",0,LOW,FAIL
"262.jpg","a gym equipment set up in a room","一个室内健身房中设置了一套完整的卧推训练设备，包含带有黑色坐垫的长椅式卧推凳、银灰色金属框架的杠铃架以及安装了黄黑配色配重片的杠铃。设备位于靠近浅灰色墙面的区域，下方是深灰色带斑点的防滑地板，背景可见红、紫、白相间的装饰墙，整体环境整洁，呈现专业的健身房训练场景。",40,高,PASS
"263.jpg","two bottles of sake","两瓶桂花酒（香林花语系列，纯米釀）并排放置在桌面上，每瓶都配有白色包装盒，盒面上用黑色书法风格字体标注着“桂花酒”“香林花语”“純米釀”；酒瓶为透明玻璃材质，配有白色螺旋盖，酒液呈淡黄色。",60,高,PASS
"264.jpg","a city at night","夜晚的都市滨水商业区，画面中央是多栋具有传统中式风格的多层餐饮建筑，建筑外立面以黄色灯光装饰，醒目地显示“洪崖洞”“重庆小天鹅”等招牌与红色文字；建筑前方是河流，河面上有船只航行，上方横跨着一座红色钢结构桥梁；背景分布着现代高层建筑群，所有建筑均以暖色调灯光点缀，营造出繁华热闹的夜间景观，展现出新旧建筑交融的城市风貌。",40,高,PASS
"265.jpg","a street at night with a bus driving down the street","An elevated city street at night, with a bus and multiple vehicles traveling along it. The street is lined with streetlights casting warm yellow illumination on the wet pavement, while tall buildings form a glowing skyline in the background, creating a bustling urban nighttime traffic scene.",40,高,PASS
"266.jpg","a city at night","夜晚的城市景观中，矗立着众多高层建筑，建筑外立面装饰着暖黄色、白色以及少量红色灯光，形成璀璨的城市天际线。画面下方可见一片水域（疑似河流），水面较为平静，倒映着部分建筑与灯光的轮廓；城市景观前方隐约可见桥梁结构，整体展现出繁华都市夜晚既静谧又璀璨的氛围。",50,高,PASS
"267.jpg","a green gate","一个带有装饰性花纹的绿色铁艺栅栏矗立在户外场景中，其前方是铺满落叶的草地与砖石路面，周围停放着多辆不同颜色的汽车（包括红色、棕色轿车等）；后方有茂密的树木和复古风格的多头路灯，远处可见浅色建筑，整个场景处于阴天的环境下，地面满是秋日落叶，营造出静谧的城市公共区域氛围。",30,高,PASS
"268.jpg","a view of a courtyard from a high angle","从高空视角看到的庭院，画面中有多层带蓝色窗帘窗户的建筑、多个空调外机，庭院内有高大乔木、灌木等多样绿化，地面为深色硬化材质且周边有白色砖砌边缘，整体呈现出整洁的公共建筑附属庭院氛围。",60,高,PASS
"269.jpg","a group of people standing around a building","一群游客聚集在一处具有中式古建风格的木质古建筑周围，该古建筑带有飞檐设计，周围设有红色书法风格的大型标语牌，场地内分布着树木，游客们正在进行参观、拍照等文旅类活动。",60,高,PASS
"270.jpg","a large gate with a sign that says chinese","一座具有飞檐翘角的大型中式古建牌楼矗立着，牌楼正中间的标牌写有金色中文文字，四周悬挂着红色灯笼，下方聚集了大量游客，周围有茂密的树木，整体呈现出傍晚时分的景区热闹景象，充满传统文化氛围。",50,高,PASS
"271.jpg","a box of fried chicken sticks","一个打开的浅棕色纸盒内盛放着多块金黄酥脆的炸鸡块，纸盒放置在浅木色纹理的平面上，呈现出一份刚取出的快餐餐食状态。",60,高,PASS
"272.jpg","a bird sitting on a branch of a tree covered in snow","A small bird perches on a frost-covered branch laden with red berries, with the berries also dusted in snow, among branches of a berry-laden shrub blanketed in winter snow.",60,高,PASS
"273.jpg","two horses standing in a field of tall grass","两只棕褐色的马（带有浅色腹部、黑色鬃毛和尾巴）面对面站立在一片草丛高大且几乎至马身中部的草地上，背景是布满淡紫色和蓝色调云朵的天空，整体场景呈现出自然宁静的氛围。",60,高,PASS
"274.jpg","the road to the top of the mountain at night","夜晚时分，一条蜿蜒曲折的山地公路沿起伏的山脉盘旋而上，车辆行驶形成的明亮光轨在暗调的山路上清晰可见，周围环绕着连绵的山峰，天空中呈现出由深蓝向粉紫渐变的色彩，沿途还分布有几处简朴的建筑，整体展现出夜间山地景观的独特风貌与壮美景象。",50,高,PASS
"275.jpg","a bridge in the middle of a forest","一座古老的红砖拱门遗迹矗立在茂密的森林中央，周围环绕着高大树木，树叶呈现黄绿交织的秋季色彩，下方有一条平静的溪流，水面清晰倒映着拱门遗迹，地面上散落着落叶，整体环境静谧而充满历史沧桑感。",65,高,PASS
"276.jpg","a sunset view of the windmill and the ocean",""A vibrant sunset scene features a traditional windmill positioned atop layered rectangular water areas (likely salt pans), beneath a dramatic sky filled with golden-orange and amber clouds. The setting sun casts warm golden light that reflects off the shimmering water surfaces, creating a serene coastal landscape."",60,高,PASS
"277.jpg","penguins on an iceberg","一群企鹅聚集在极地海域的岩石（冰碛岩）突起处，其中一只企鹅正跃向下方的水面，周围环绕着形态各异的蓝白冰山，广阔的海水与远处的大型冰山共同构成了寒冷的自然栖息环境，呈现出企鹅在极地生态系统中活动的生动场景。",50,高,PASS
"278.jpg","three bears are walking across a waterfall","四只棕熊在湍急的瀑布附近水域活动，它们分散于瀑布上下游及水中不同区域，身处有岩石的自然水域环境中，可能涉及捕食洄游鱼类等行为",25,高,PASS
"279.jpg","an octopus with its mouth open and tentacles open","a black-and-white patterned octopus with its mouth area open, tentacles fully extended outward while inhabiting a large empty seashell structure in an underwater environment",65,高,PASS
"280.jpg","halloween pumpkins with faces and eyes","万圣节主题装饰包含多种造型（普通南瓜、幽灵造型南瓜、小型圆形南瓜）及不同颜色的装饰（橙色、黑色、白色、绿色等），所有装饰均带有脸部和眼睛等面部特征，它们被摆放在户外空间（疑似住宅门前区域），整体呈现出丰富的视觉层次与万圣节氛围。",60,高,PASS
"281.jpg","the great wall of china","一处古老的城堡遗迹坐落在陡峭的红色砂岩悬崖之上，石砌的墙体与塔楼在晨光的映照下呈现出暖色调，周围环绕着茂密的植被，下方及远处被大面积云海覆盖，天空呈现蓝橙渐变的清晨色彩，整个场景是历史遗迹与自然景观完美融合的壮丽画面，给人一种神秘而庄重的历史厚重感。",0,高,PASS
"282.jpg","jellyfish in the water","画面中众多水母在清澈的蓝绿色海水中游动，其中几只较大的水母呈鲜亮的黄色，拥有饱满的伞状躯体与细长的带纹理触手，周围环绕着大量体型较小、半透明的同类水母，整个场景光线柔和，展现出宁静的海底生态景象。",40,高,PASS
"283.jpg","a person is taking a picture of a city","一个人在带有木质护栏的观景台上使用设备拍摄城市景观，画面中可见一座现代跨江桥梁延伸至远方，周围环绕着高低错落的现代高层建筑群，前景处悬挂着红色和橙色的传统风格灯笼，下方有河流与绿地，整体呈现出历史文化与现代都市融合的城市风貌。",50,高,PASS
"284.jpg","a large tower in a field of yellow flowers","一座多层木质结构的塔楼矗立在一片广阔的黄色花田旁，塔楼设有多个观景平台，周围环绕着水域和木质栈道，栈道上聚集了大量前来参观的游客，这里是一片旅游景区，背景中还能看到远处的树木与建筑。",60,高,PASS
"285.jpg","a street with cars and a traffic light","一条城市街道上有多辆汽车行驶，路口处设有带有倒计时显示（07）的交通信号灯（当前为绿灯），街道两侧种植着盛开的樱花树，背景分布有“中国擎天软件”红砖建筑与“南京江北新区”现代玻璃建筑，路上还设有限速40的标志、文明标语牌以及机动车与非机动车道的指示标识，整体呈现晴朗天气下正常城市交通与景观结合的场景。",60,高,PASS
"286.jpg","a person cooking food on a grill","一个人在大型户外烧烤架上烤制多种食物，包括肉串、蔬菜和海鲜类食材，烤架上升腾着浓烟，场景呈现为热闹的夜间户外烧烤摊",60,高,PASS
"287.jpg","a computer screen with a drawing of a square","一台电脑显示器屏幕上显示着电子电路设计软件界面，呈现的是带有网格背景的电路布局图，包含紫色外轮廓边界、黄色子区域（标有J1）、多组红色电气线路（标注VCC和GND）以及标有D1至D6的元件标识，属于PCB设计过程中的布局图纸。",33,高,PASS
"288.jpg","a building with statues in front of it","罗汉禅寺这座具有中式古建风格的建筑前，台阶两侧摆放着石狮子雕像，建筑飞檐翘角，外墙呈现深色木构与黄色墙体结合，周围可见现代高层建筑，呈现出历史建筑与现代都市交融的场景。",60,高,PASS
"289.jpg","a train is coming down the tracks in a train station","一列带有红白配色的现代城市轨道交通列车正沿着轨道向具有现代钢结构与玻璃顶棚的地铁站台方向行驶，站台设有防护栏杆，背景可见多层高楼建筑，整体场景在阴天的光线条件下呈现常规的城市轨道交通运营状态。",70,高,PASS
"290.jpg","a large crane","在一处城市公共开放空间内，有两台大型起重机，分别为画面左上方的长臂塔式起重机和画面右侧的黄色塔式起重机，周围有多名行人活动，背景可见现代斜拉桥梁、具有历史风格的多根石柱以及城市高楼群，地面为方形砖块铺装的步行广场区域，天空呈阴天状态。",30,高,PASS
"291.jpg","a man is sitting at a desk with a computer","一个男子坐在现代化办公空间的白色书桌前，使用由两台AOC品牌黑色带红色装饰的双显示器组成的电脑系统，桌上摆放着键盘、鼠标和透明水瓶，背景有一块大型数据显示屏和投影设备，整体环境光线明亮，呈现专业的工作或培训场景。",30,高,PASS
"292.jpg","people walking on a path through the mountains","多人在一条设有木质护栏的石阶步道上行走，这条步道穿梭于茂密的山林之间，周围树木繁茂、植被丰富，远处可见连绵的山脉，天空呈阴天状态，整体环境自然宁静。",65,高,PASS
"293.jpg","a yellow building with a black fence and trees","一处具有传统风格的黄色寺庙建筑群矗立在山间景区内，前方设有深色防护护栏，周围环绕着多棵大型古树，背景可见青山，景区内有不少游客在护栏附近活动，墙体上还刻有相关文字标识，",50,高,PASS
"294.jpg","people walking through the park in spring","春季里，人们在盛开着繁花的树林间漫步，穿梭于一片绿意盎然的草地之上，周围满是开满花朵的树木，许多人正享受着户外时光，有的在散步，有的在休息。",60,高,PASS
"295.jpg","a bunch of pink flowers on a tree","一丛包含淡粉、深粉、紫红色的粉色系花朵盛开在梅树枝头，花朵间夹杂着未绽放的花苞，背景为开阔的户外公园，可见草地、远处行人和明亮的天空。",60,高,PASS
"296.jpg","people walking through the trees in the park","一群人在春日的公园花林中漫步，周围是开满粉白花朵的树木，人们在花木间休闲游玩、拍照欣赏美景",60,高,PASS
"297.jpg","a tree with pink flowers in a cemetery","一棵开满淡粉色花朵的树矗立在墓地中，周围分布着其他树木和墓碑，远处可见几位行人，地面有泥土与小草，整体环境静谧而充满自然气息。",75,高,PASS
"298.jpg","a group of people walking around a tree","一群人在具有传统中式古建筑的园林环境中围绕一棵开满鲜艳粉色花朵的树木活动，部分游客驻足观赏或用相机拍摄，场景光线明亮，呈现出景区内春季赏花游览的轻松愉悦氛围",60,高,PASS
"299.jpg","people walking around a large rock wall","一群人在室内文化场馆内参观围绕着一面大型历史题材浮雕墙行走，该浮雕墙呈红褐色，上面雕刻着丰富的历史场景和人物形象，场馆天花板有几何造型设计并设有采光天窗，地面整洁，整体为历史文化展示空间。",60,高,PASS
"300.jpg","a view of the city from a window","从一扇窗户望出去，可以看到一个以冷蓝色调呈现的夜景城市微缩模型。画面中有多种风格的建筑（包含欧式古典建筑），建筑间分布着树木，地面似覆盖薄雪，整体场景静谧，天空为深蓝色，呈现出一种历史城区模型展示的效果，给人一种怀旧而安宁的感觉。",60,高,PASS
"301.jpg","yellow flowers in the forest","一簇约8 - 10朵的黄色小型花卉（类似雏菊）生长在林间空地的土壤上，花朵花瓣呈明亮的金黄色，花心为深黄色，周围环绕着土壤、碎石与小型绿色植物，整体呈现自然清新的户外生态环境。",50,高,PASS
"302.jpg","a display case with a yellow and red object on it","一个博物馆的玻璃展示柜内，放置着一件镶红宝石的金色面具文物，该文物主体呈金色，面部区域有红色宝石镶嵌，整体造型为面具状，被安置在白色的方形基座上，展示柜周围还有其他展品和展柜，展示柜下方的基座旁设有文物说明牌，整个场景呈现出博物馆历史文物展览的氛围。",60,高,PASS
"303.jpg","a yellow object on display in a glass case","一个带有精美雕刻纹饰和金属链条的圆柱形金黄色文物（鸾凤纹带鞘金篦刀，辽代），在博物馆展示区域内陈列，放置于浅色展示板之上，文物下方配有说明牌，处于博物馆展览环境中。",0,LOW,FAIL
"304.jpg","the entrance to the temple","传统中式风格的寺庙入口，由三座带有拱形门洞的古建门楼组成，中央门为红色大门，门楼顶部覆盖蓝色琉璃瓦，墙体为浅黄色砖，门洞边缘有精美白色雕刻装饰；入口处设有“入口 单向通行”标识，周围聚集大量游客，部分人撑着遮阳伞，背景可见晴朗蓝天与古建绿树，整体呈现景区开放游览的场景。",60,高,PASS
"305.jpg","the temple of heaven","The Temple of Heaven showcases a magnificent circular ancient building at its center, featuring a golden finial on top of its dark-tiled roof. The structure has light gray walls, red wooden doors, and is encircled by white stone railings and steps leading up to it. To the left, there's a curved yellow wall adorned with traditional blue glazed tiles, while lush green trees and other historical structures can be seen in the distance. Above, the sky is clear and bright blue, dotted with scattered white clouds, creating a serene atmosphere for this historic cultural site. Several visitors are visible near the base of the building, highlighting its role as an accessible tourist attraction.",60,高,PASS
"306.jpg","the bird nest stadium in beijing, china","The Bird's Nest Stadium in Beijing, China at night, showcasing its distinctive steel framework structure illuminated by red and orange lights. In front of the stadium is a spacious plaza populated with numerous visitors, surrounded by trees, white tents, and street lamps.",40,高,PASS
"307.jpg","a large room with a clock on the ceiling","一个具有宗教文化风格的大型室内场馆，空间宽敞，装饰华丽，中央矗立着标志性的高大佛塔，周围多层结构上布满精美的佛像雕塑与彩色壁画，天花板和墙面充满艺术化宗教装饰。场地内有众多游客参观游览，地面光滑反光，整体氛围庄重且富有艺术感染力。",30,高,PASS
"308.jpg","a model of a car made of rocks","一个由石板拼接而成的古代人形文物，呈仰卧姿态，放置在博物馆的棕色展台上，周围设有透明玻璃展柜。文物由方形石质材料拼接构成，边缘以红色绑带固定，表面分布着金色钉状连接件，整体呈现出完整的人形结构，包含头部、四肢和躯干部分，作为历史文化遗产在博物馆环境中展出，供参观者观赏了解其历史文化价值。",30,高,PASS
"309.jpg","a large black and white map on display","一个大型黑白天文图在博物馆展厅内展示，带有"周天历"标题，包含圆形星象图及外围和下方的文字说明，整体以深色背景搭配白色线条和文字呈现，呈静态悬挂状态于展厅墙壁之上",40,高,PASS
"310.jpg","a river with a lot of people walking on it","一条河流贯穿历史文化街区景区，两岸有许多人在步行道、台阶等岸边设施上活动，周边分布着现代风格商铺与传统民居结合的建筑，河道两侧种植着茂密的树木，天空阴沉，整体呈现休闲游览的景象。",50,高,PASS
"311.jpg","a view of a city from a hill","从山林高处透过茂密林木俯瞰，可见城市景观层次分明：近处是大片绿地与蜿蜒河流，中景是高低错落的建筑群（包含现代高层建筑与传统民居），远处是朦胧的城市天际线，整个画面由山林前景自然框架，呈现出自然与城市和谐共存的景观。",60,高,PASS
"312.jpg","a group of people standing on a stage","一群身着深色统一风格服装的人员聚集在"时光启盛，璀璨迎新"电信学院2024年新年晚会的舞台中央，背后的大型电子显示屏显示活动主题及人物画面，舞台配备专业灯光设备和音响系统，整体处于室内场地，时间为夜间。",60,高,PASS
"313.jpg","a table with bowls of food and a bowl of soup","一张餐桌上有两个竹制蒸笼，分别盛放着包子；桌面上还摆放着蓝白相间的陶瓷碗、杯子和餐具，整体呈现出中式餐饮场景的用餐布置。",30,高,PASS
"314.jpg","a man in a black jacket and glasses standing in front of a crowd","A man wearing a dark gray thick coat with fur collar, glasses, and a dark cap stands indoors in front of an audience, with gray curtains visible in the background. His hands are in his pockets as he looks to one side.",60,高,PASS
"315.jpg","ERROR","ERROR",0,"ERROR","FAIL"
"316.jpg","a brick walkway leading to a house","一条由砖石铺成的步道穿过老式住宅区，两侧是带有红色屋顶的浅黄色房屋，步道通向远处水域方向，周边有树木、电线，小径上有行人，整体呈现出生活化的街区景象。",50,高,PASS
"317.jpg","a city skyline at night with a body of water","夜晚的城市天际线，高楼林立，其中一栋标志性塔楼呈现多彩灯光渐变效果（红、黄、蓝等色彩交织），天际线前方是一片有波纹的水域，水面反射着建筑灯光，左下角可见沙滩边缘，整体展现沿海城市繁华夜景与水域相融的画面。",80,高,PASS
"318.jpg","a city skyline at night","夜晚的城市滨水天际线，多栋超高层建筑被多彩灯光装饰，呈现出蓝、绿、红等多种绚丽的色彩，灯光在水面上形成绚丽倒影。画面下方是沙滩区域，沙滩上有几个人在进行休闲活动，整体展现出都市建筑的现代化风貌与滨水区域的休闲氛围。",0,高,PASS
"319.jpg","a group of people are sitting on the grass","一群人在公园草地上休闲活动，其中有站立、蹲着和行走的人群，周围分布着大片绿地和茂密的大树，天气晴朗。",50,高,PASS
"320.jpg","a red and white building with a sign on the front","一栋三层的红白相间建筑矗立在街道旁，建筑主体为白色墙面搭配红色框架与装饰，共三层结构；建筑正面设有黑色招牌（带有红色文字标识），左侧有一台大型彩色电子显示屏，周围环绕着茂密的树木和灌木丛，建筑前方是宽阔的城市道路。",65,高,PASS
"321.jpg","a view of a house from the top of a hill","传统古建筑群与历史文化街区景观，展现白墙黑瓦的中式古建筑、石板路面，以及开设汉服商铺的传统建筑底层，在晴朗天气下呈现的历史文化旅游场景",20,高,PASS
"322.jpg","a clay bowl is being made on a potter ' s wheel","a light beige clay bowl under formation sits atop a silver-gray metal potter's wheel, displaying smooth interior walls with distinct circular spin marks from the wheel's rotation, in what appears to be a pottery studio setting.",60,高,PASS
"323.jpg","a view of a city from a balcony","从带有黑色几何框架结构的阳台位置俯瞰城市，可见多样建筑群，包含现代化的玻璃幕墙高楼与传统风格建筑，中景有道路和高架桥，右侧可见老旧建筑及空调设备，天空呈淡蓝色且略有朦胧感，整体呈现白天时分的城市景观。",50,高,PASS
"324.jpg","two women riding bikes on a bridge","两个孩子骑着一辆粉色的自行车行驶在带护栏的桥面上，前方是一位身着白色无袖上衣和浅灰色短裤的女孩操控方向，后方是一位穿着橙白相间T恤和蓝色短裤的孩子一同骑行，周围是设有护栏的桥梁，远处可见青山、村落与多云的天空，整体呈现出轻松愉快的户外休闲氛围。",30,高,PASS
"325.jpg","the city skyline","这是一个夜晚时分的沿海大城市天际线全景图，密集的高层建筑群构成了壮观的城市轮廓，众多摩天大楼在夜色中灯火通明，其中可见标志性的尖顶与流线型建筑，城市被大面积水域环绕，水面平静，与灯火辉煌的城市景观形成鲜明对比，整体呈现出繁华都市在夜间展现出的璀璨与现代感。",70,高,PASS
"326.jpg","the maroon mountain range in autumn","秋季的山地景观中，远处是覆雪的山峰在夕阳下泛着暖橙色光泽，山腰分布着深绿色森林，近景是一片绚烂的秋季森林，树木呈现出明亮的金黄色，其间点缀着常绿树木，整个场景在多云的天空中展现出丰富的空间层次与自然之美。",30,高,PASS
"327.jpg","a field of yellow flowers","一片盛开的黄色花田（疑似油菜花）延伸至画面下方，花田后方排列着多组锈蚀的复古车轮，远处是具有历史感的白色木质农舍建筑群，整体构成宁静古朴的乡村田园景观。",60,高,PASS
"328.jpg","a castle on top of a mountain with a sunset in the background","一座具有多座塔楼的白色城堡矗立在陡峭的岩石山顶之上，周围环绕着茂密的秋季山林，山间弥漫着轻薄的雾气，背景是色彩绚丽的日落天际线，天空呈现出红、橙、紫相间的渐变，远处连绵的山脉与近处的城堡共同构成了这幅壮丽的自然与人文结合的画面，夕阳的金色光芒洒落在城堡表面，营造出宁静而神秘的氛围。",60,高,PASS
"329.jpg","a statue of a woman in a white dress","一座女性雕像，身着白色长裙，站立于装饰精美的基座之上，右手呈轻抬姿态似作手势，左手怀抱花束，雕像坐落于挂满西班牙苔藓的大型古树林立的自然环境中，营造出历史园林般静谧而庄重的氛围。",60,高,PASS
"330.jpg","aci ac ac ac ac ac ac ac ac ac ac ac ac ac ac ac ac ac ac ac","从高处俯瞰，雅典卫城坐落在岩石高地上，其标志性的古建筑群（包括帕特农神庙等遗迹）在夕阳余晖下被暖光点亮，成为画面视觉中心。下方是密集的现代城市建筑群，建筑色彩丰富，错落分布。远处是平静的爱琴海，海面上可见几艘船只，更远方是连绵的山脉。天空呈现出从橙红到淡蓝的渐变色，为整个场景增添了浪漫的黄昏氛围。历史遗迹与现代都市、自然山水相互映衬，展现出古城的独特风貌。",0,高,PASS
"331.jpg","two polar bears in the snow","在一片被白雪覆盖的原野上，有一只成年北极熊和两只幼崽北极熊。成年北极熊站立着，背部趴着一只幼崽，另一只幼崽则站在成年熊身前靠近一棵低矮针叶树的部位；三者呈现出紧密的家族互动关系，周围分布着稀疏的树木，天空为淡蓝色。",33,高,PASS
"332.jpg","a church on a hill surrounded by trees","an ancient castle with multiple conical towers sits atop a hill, surrounded by dense autumn forest displaying vibrant orange, yellow, and green foliage under a softly clouded sky",67,高,PASS
"333.jpg","the te river in grand te national park, wyoming","The Oxbow Bend section of the Snake River in Grand Teton National Park, Wyoming features a tranquil, mirror-like waterway reflecting majestic snow-capped mountains and vibrant autumn forests. Golden-hued deciduous trees and dark green evergreens line the banks, while the clear blue sky provides a brilliant backdrop to this serene natural landscape.",30,高,PASS
"334.jpg","the chinese language is displayed on the screen","一个足球比赛赛况界面以中文显示在屏幕上，包含两支参赛队伍名称（材料科学与工程...、人工智能与自动...）、比赛比分（0 - 1），以及“进球”“助攻”“换上”“换下”等功能分类标签，同时按时间轴展示比赛事件：上半场第28分钟时9号球员迪力木拉提·艾合买提进球，下半场第75分钟时4号球员蒋一鸣获得黄牌等信息。",50,高,PASS
"335.jpg","a building with a sign in front of it","一栋浅色的多层建筑矗立在户外公共场所，建筑前方有约8 - 10块红色为主的宣传展板整齐排列，展板中央偏右位置有一座大型深灰色雕塑，周边环绕着修剪整齐的灌木、草坪和小型树木，整个场景为整洁的文化休闲区域（推测为学校或文化园区广场），天空呈阴天状态，光线柔和。",30,高,PASS
"336.jpg","a view of the city from the top of the mountain","从山顶石质观景平台俯瞰，可见石阶环绕的观景区域，中央矗立着一根插有红色旗帜的旗杆，四周分布着枝叶稀疏的树木，下方有步行道与公路，路上行驶着车辆、有许多行人或停留或行走，远处是连绵的山脉与错落的城市建筑群，天空呈阴沉状态。",60,高,PASS
"337.jpg","a bridge with a car on it","一座具有现代斜拉桥设计的桥梁横跨区域，桥面上有车辆行驶，人行道上有行人停留，周边可见城市建筑群与远处山脉，天空多云，整体呈现为兼具交通功能与休闲空间的都市桥梁场景。",70,高,PASS
"338.jpg","a view of a city at night with a bridge","一个夜晚时分的历史与现代交融城市景观，画面中部是一座现代风格桥梁（主体为红色并带有灯光装饰）；桥梁旁是具有传统中式风格的洪崖洞建筑群，建筑被暖黄色灯光照亮，外墙上清晰显示“洪崖洞”字样；背景中分布着现代化高楼大厦，部分建筑有蓝色、白色灯光点缀；整个场景处于漆黑的夜空下，展现出历史建筑、现代桥梁与摩天大楼相结合的城市风貌，灯光璀璨，营造出热闹繁华的都市夜景氛围。",50,高,PASS
"339.jpg","a crowd of people walking around a city at night","一群人在夜晚的城市商业步行街上行走，周围环绕着装饰华丽的传统中式古建筑塔楼（塔楼有多层飞檐，外墙有暖黄色灯光照明），塔楼周边分布着现代高层建筑（部分建筑有彩色灯光装饰），街道上商铺林立，人群密集，呈现出热闹繁华的夜间景象。",65,高,PASS
"340.jpg","a table with plates of food and bowls of food","一张白色大理石纹理的圆形餐桌摆满了各式食物与餐具，包含陶制砂锅（内有炒饭类菜品）、方形瓷盘（盛放烧腊菜品并配蘸料）、竹制蒸笼（内有三份蒸制面点）、蓝白纹饰汤碗（装有甜品汤品）等多种食物载体；桌上还摆放着筷子、勺子等餐具，以及菜单、纸巾盒、手机充电线、水杯等辅助物品，场景处于餐厅内，地面为黑白几何图案瓷砖，整体呈现出已点餐后享用美食的状态。",30,高,PASS
"341.jpg","the circuit diagram for the amplifier","这是一张音响放大电路原理图，展示了包含多级放大结构的电子电路。图中包含型号为UA741、LM386的运算放大器，以及标号R1至R22的电阻（阻值涵盖10K、20Ω、33Ω等多种规格）、C1至C12的电容（容量从1μF到100nF不等）、二极管及LED等元件。电路通过导线连接形成完整放大系统，具备前置放大、功率放大等功能模块，标注了±9V直流电源、FREQ=1K等关键参数，整体采用标准电子电路原理图绘制规范。",60,高,PASS
